DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-02-05 09:33:27.023,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
127126,0.8678,0.1360,-0.0517,-0.4752,0.0125,0.4249,-0.5162,0
127293,0.8657,0.1397,-0.0581,-0.4772,-0.2760,-0.3129,-0.7713,0
127460,0.8643,0.1441,-0.0646,-0.4776,0.4743,0.7020,-0.9069,0
127626,0.8634,0.1466,-0.0706,-0.4775,-0.0477,1.1748,0.2528,0
127793,0.8610,0.1504,-0.0757,-0.4799,-0.1358,0.1032,-0.5916,0
127960,0.8604,0.1689,-0.0886,-0.4725,-0.0497,-0.6346,-0.9887,0
128127,0.8599,0.1910,-0.1034,-0.4620,0.7254,-0.0472,-0.5348,0
128293,0.8579,0.2089,-0.1154,-0.4550,0.4530,0.7038,0.2173,0
128460,0.8559,0.2234,-0.1257,-0.4491,0.6173,0.3162,-0.0506,0
128627,0.8535,0.2341,-0.1337,-0.4460,0.0024,-0.6146,-0.3628,0
128793,0.8514,0.2467,-0.1430,-0.4403,0.1674,0.2907,0.3124,0
128960,0.8498,0.2594,-0.1528,-0.4328,1.2681,0.8603,-0.0087,0
129127,0.8472,0.2727,-0.1604,-0.4268,1.0324,0.1374,-0.4432,0
129293,0.8447,0.2879,-0.1684,-0.4185,1.1750,-0.4966,-1.0988,0
129460,0.8423,0.3023,-0.1754,-0.4103,0.0097,-0.3055,-0.2886,0
129627,0.8397,0.3149,-0.1819,-0.4032,-1.1847,-0.1802,0.7194,0
129793,0.8377,0.3215,-0.1876,-0.3995,-0.0471,0.5461,1.1216,0
129960,0.8372,0.3252,-0.1926,-0.3952,0.7344,0.4933,0.3629,0
130127,0.8376,0.3268,-0.1963,-0.3914,0.2151,-0.3209,-0.4259,0
130293,0.8373,0.3288,-0.1996,-0.3886,-0.1385,-0.3294,-0.1252,0
130460,0.8352,0.3346,-0.2028,-0.3865,0.6172,-0.3857,-1.4606,0
130627,0.8320,0.3460,-0.2076,-0.3807,0.4157,-0.9629,-1.0351,0
130793,0.8291,0.3566,-0.2122,-0.3746,0.2767,0.2016,0.1251,0
130960,0.8272,0.3652,-0.2170,-0.3678,-0.1244,-0.2565,0.1521,0
131127,0.8263,0.3709,-0.2212,-0.3615,0.2903,-0.2281,-0.4729,0
131293,0.8259,0.3715,-0.2236,-0.3604,-1.0857,-0.7200,-0.3540,0
131460,0.8242,0.3757,-0.2271,-0.3577,0.7862,-0.2773,-0.9943,0
131627,0.8202,0.3864,-0.2312,-0.3528,0.5463,0.1078,-0.6667,0
131793,0.8154,0.3973,-0.2356,-0.3491,0.5164,-0.1709,-0.8336,0
131960,0.8108,0.4062,-0.2382,-0.3476,-0.9811,-0.7992,0.1044,0
132127,0.8079,0.4096,-0.2387,-0.3502,0.1620,-0.7168,-0.2971,0
132293,0.8078,0.4048,-0.2366,-0.3571,0.2258,-0.3075,-0.0064,0
132460,0.8093,0.3962,-0.2331,-0.3657,1.0193,-0.1876,-0.4335,0
132627,0.8096,0.3933,-0.2305,-0.3697,1.1820,0.0005,-1.4129,0
132793,0.8086,0.3944,-0.2288,-0.3718,-0.0888,-0.1828,-0.4412,0
132960,0.8068,0.3979,-0.2284,-0.3722,-0.1262,0.3671,0.5571,0
